2025-09-17 12:30:29,891 - INFO - THRESHOLDS FINANCEIROS: buy=0.55 sell=0.25 hold_min_days=3
2025-09-17 12:30:29,892 - INFO - PROBABILIDADE MÉDIA: 0.609
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - INICIANDO BACKTESTING REALISTA
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - Tamanho test_df: 251
2025-09-17 12:30:29,892 - INFO - Tamanho predictions: 251
2025-09-17 12:30:29,892 - INFO - Tamanho probabilities: 251
2025-09-17 12:30:29,949 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.389, fração: 28.6%)
2025-09-17 12:30:29,951 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.909, fração: 96.5%)
2025-09-17 12:30:29,951 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.931, fração: 97.2%)
2025-09-17 12:30:29,951 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.890, fração: 95.8%)
2025-09-17 12:30:29,951 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.555, fração: 51.2%)
2025-09-17 12:30:29,951 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.615, fração: 63.0%)
2025-09-17 12:30:29,951 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.400, fração: 29.5%)
2025-09-17 12:30:29,953 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.582, fração: 56.3%)
2025-09-17 12:30:29,953 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.759, fração: 86.5%)
2025-09-17 12:30:29,953 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.416, fração: 31.0%)
2025-09-17 12:30:29,953 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.765, fração: 87.2%)
2025-09-17 12:30:29,954 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.640, fração: 67.9%)
2025-09-17 12:30:29,954 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.791, fração: 89.7%)
2025-09-17 12:30:29,954 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.771, fração: 87.8%)
2025-09-17 12:30:29,954 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.629, fração: 65.8%)
2025-09-17 12:30:29,955 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.878, fração: 95.3%)
2025-09-17 12:30:29,955 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.761, fração: 86.7%)
2025-09-17 12:30:29,955 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.772, fração: 87.9%)
2025-09-17 12:30:29,955 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.778, fração: 88.5%)
