Date,wavelet_cD,target
2023-08-03,3.002806336915853e-15,0.0
2023-08-04,-4.731019148802515e-05,0.0
2023-08-07,1.1666015375944028e-15,0.0
2023-08-08,-5.45899751681813e-06,0.0
2023-08-09,1.252470349655255e-15,0.0
2023-08-10,8.188608316398241e-06,0.0
2023-08-11,2.1566949615081654e-15,0.0
2023-08-14,-3.639152424335856e-05,0.0
2023-08-15,-7.090682208055199e-16,0.0
2023-08-16,-1.819441769783641e-06,0.0
2023-08-17,1.401222887720266e-15,0.0
2023-08-18,1.9105707079046085e-05,2.0
2023-08-21,9.861902960928148e-16,2.0
2023-08-22,3.821253450404186e-05,2.0
2023-08-23,1.6306400674181989e-15,0.0
2023-08-24,-2.9114653436638355e-05,0.0
2023-08-25,1.508775743230828e-15,0.0
2023-08-28,8.279378740517129e-05,2.0
2023-08-29,1.7039321342782188e-15,0.0
2023-08-30,-4.913030546825061e-05,0.0
2023-08-31,1.0217521273503394e-15,0.0
2023-09-01,2.1636120369143697e-05,0.0
2023-09-04,4.96564594998361e-16,0.0
2023-09-05,-3.732701308402147e-05,0.0
2023-09-06,1.440254165929744e-15,0.0
2023-09-08,3.641124234878435e-06,2.0
2023-09-11,2.5821358939914774e-15,2.0
2023-09-12,1.4567185765324182e-05,1.0
2023-09-13,2.615095640035037e-15,1.0
2023-09-14,-1.001544436667664e-05,0.0
2023-09-15,2.560451850541768e-15,0.0
2023-09-18,-6.372751650165001e-06,0.0
2023-09-19,4.570996359198887e-16,0.0
2023-09-20,4.229216212830924e-05,0.0
2023-09-21,5.43835809718729e-16,0.0
2023-09-22,-6.435939159408176e-06,0.0
2023-09-25,2.618131406117996e-15,0.0
2023-09-26,-3.6776251032411954e-05,0.0
2023-09-27,1.4857906571741353e-15,1.0
2023-09-28,6.435894346476078e-05,2.0
2023-09-29,3.217912047936977e-16,0.0
2023-10-02,-2.321625624776818e-05,0.0
2023-10-03,2.593411596585326e-16,2.0
2023-10-04,5.6119919586069926e-05,2.0
2023-10-05,1.945492378307989e-15,2.0
2023-10-06,2.3920729764133865e-05,1.0
2023-10-09,6.132247487578013e-16,1.0
2023-10-10,-2.7600842021678965e-06,0.0
2023-10-11,9.575673587391977e-16,0.0
2023-10-13,-2.6679469547938664e-05,0.0
2023-10-16,1.4203048459560108e-15,0.0
2023-10-17,-3.77200304319575e-05,0.0
2023-10-18,3.626873107398509e-15,0.0
2023-10-19,2.852042196557725e-05,2.0
2023-10-20,2.319325287380991e-15,2.0
2023-10-23,2.759636066058946e-06,2.0
