Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-09-23,109098.81121502089,111235.44613501352,89574.80654086897
2024-09-24,109098.81121502089,111235.44613501352,89450.14980421035
2024-09-25,109098.81121502089,111235.44613501352,90011.15394289994
2024-09-26,109098.81121502089,111235.44613501352,92317.54768971338
2024-09-27,109098.81121502089,111235.44613501352,93127.87832138041
2024-09-30,109098.81121502089,111235.44613501352,91631.86077504474
2024-10-01,109098.81121502089,111235.44613501352,92816.7279719067
2024-10-02,109479.4251319772,111972.1100729863,96163.30794152402
2024-10-03,108796.40981159158,110793.4479048319,95151.05539969575
2024-10-04,108838.61544435393,110940.78067585119,95277.58696742427
2024-10-07,109577.7892990602,111972.1100729863,96163.30794152402
2024-10-08,109716.04291648377,112119.4276839736,96289.82648959235
2024-10-09,107812.3730690626,109909.46362514024,94391.86599332455
2024-10-10,107812.3730690626,109909.46362514024,94897.9987740688
2024-10-11,107812.3730690626,109909.46362514024,93632.68309678347
2024-10-14,107812.3730690626,109909.46362514024,95024.52383196722
2024-10-15,107812.3730690626,109909.46362514024,95846.98227711774
2024-10-16,107812.3730690626,109909.46362514024,95530.64359305124
2024-10-17,107812.3730690626,109909.46362514024,96163.30794152402
2024-10-18,107812.3730690626,109909.46362514024,96922.484328235
2024-10-21,107812.3730690626,109909.46362514024,96669.42770260804
2024-10-22,107812.3730690626,109909.46362514024,96036.76986396538
2024-10-23,107812.3730690626,109909.46362514024,95657.17516077978
2024-10-24,107812.3730690626,109909.46362514024,95846.98227711774
2024-10-25,107812.3730690626,109909.46362514024,94455.12201244368
2024-10-28,107812.3730690626,109909.46362514024,96163.30794152402
2024-10-29,107812.3730690626,109909.46362514024,94771.46069651016
2024-10-30,107812.3730690626,109909.46362514024,95087.79287074653
2024-10-31,107812.3730690626,109909.46362514024,90912.28368485547
2024-11-01,107812.3730690626,109909.46362514024,89267.37981421466
2024-11-04,107812.3730690626,109909.46362514024,89387.59684674245
2024-11-05,107812.3730690626,109909.46362514024,88247.28292711126
2024-11-06,107812.3730690626,109909.46362514024,87487.07147741375
2024-11-07,107812.3730690626,109909.46362514024,86536.81855749455
2024-11-08,107812.3730690626,109909.46362514024,85586.55912774526
2024-11-11,107812.3730690626,109909.46362514024,85269.81032438223
2024-11-12,107812.3730690626,109909.46362514024,84826.34767804775
2024-11-13,107812.3730690626,109909.46362514024,85396.51114769345
2024-11-14,107812.3730690626,109909.46362514024,85713.26646088659
